,0,1,2,3
366,1.0,0.0,36.0,19.0
367,1.0,0.0,36.0,22.0
368,1.0,0.0,36.0,25.0
369,1.0,0.0,36.0,28.0
370,1.0,0.0,37.0,1.0
371,1.0,0.0,37.0,4.0
372,1.0,0.0,37.0,7.0
373,1.0,0.0,37.0,10.0
374,1.0,0.0,37.0,13.0
375,1.0,0.0,37.0,16.0
376,1.0,0.0,37.0,19.0
377,1.0,0.0,37.0,22.0
378,1.0,0.0,37.0,25.0
379,1.0,0.0,37.0,28.0
380,1.0,0.0,38.0,1.0
381,1.0,0.0,38.0,4.0
382,1.0,0.0,38.0,7.0
383,1.0,0.0,38.0,10.0
384,1.0,0.0,38.0,13.0
385,1.0,0.0,38.0,16.0
386,1.0,0.0,38.0,19.0
387,1.0,0.0,38.0,22.0
388,1.0,0.0,38.0,25.0
389,1.0,0.0,38.0,28.0
390,1.0,0.0,39.0,1.0
391,1.0,0.0,39.0,4.0
392,1.0,0.0,39.0,7.0
393,1.0,0.0,39.0,10.0
394,1.0,0.0,39.0,13.0
395,1.0,0.0,39.0,16.0
396,1.0,0.0,39.0,19.0
397,1.0,0.0,39.0,22.0
398,1.0,0.0,39.0,25.0
399,1.0,0.0,39.0,28.0
400,1.0,0.0,40.0,1.0
401,1.0,0.0,40.0,4.0
402,1.0,0.0,40.0,7.0
403,1.0,0.0,40.0,10.0
404,1.0,0.0,40.0,13.0
405,1.0,0.0,40.0,16.0
406,1.0,0.0,40.0,19.0
407,1.0,0.0,40.0,22.0
408,1.0,0.0,40.0,25.0
409,1.0,0.0,40.0,28.0
410,1.0,0.0,41.0,1.0
411,1.0,0.0,41.0,4.0
412,1.0,0.0,41.0,7.0
413,1.0,0.0,41.0,10.0
414,1.0,0.0,41.0,13.0
415,1.0,0.0,41.0,16.0
416,1.0,0.0,41.0,19.0
417,1.0,0.0,41.0,22.0
418,1.0,0.0,41.0,25.0
419,1.0,0.0,41.0,28.0
420,1.0,0.0,42.0,1.0
421,1.0,0.0,42.0,4.0
422,1.0,0.0,42.0,7.0
